startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-13T22:16:18.415Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,1000,20,1000,20,2020-10-13T22:16:29.084Z,2020-10-13T22:16:29.109Z,2020-10-13T22:16:29.109Z,2020-10-13T22:16:29.119Z,2020-10-13T22:16:29.119Z,2020-10-13T22:16:29.119Z,2020-10-13T22:16:29.122Z,2020-10-13T22:16:29.131Z,2020-10-13T22:16:29.131Z,2020-10-13T22:16:29.140Z,2020-10-13T22:16:29.141Z,2020-10-13T22:16:28.940Z,2020-10-13T22:16:28.942Z,2020-10-13T22:16:29.069Z,2020-10-13T22:16:29.142Z,,,2020-10-13T22:16:30.407Z,0.867435097694397
2020-10-13T22:16:34.924Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,5000,1,5000,1,2020-10-13T22:16:47.240Z,2020-10-13T22:16:47.241Z,2020-10-13T22:16:47.241Z,2020-10-13T22:16:47.242Z,2020-10-13T22:16:47.242Z,2020-10-13T22:16:47.244Z,2020-10-13T22:16:47.245Z,2020-10-13T22:16:47.245Z,2020-10-13T22:16:47.245Z,2020-10-13T22:16:47.246Z,2020-10-13T22:16:47.248Z,2020-10-13T22:16:46.875Z,2020-10-13T22:16:46.877Z,2020-10-13T22:16:47.230Z,2020-10-13T22:16:47.254Z,,,2020-10-13T22:16:48.544Z,4.365471005439758
2020-10-13T22:16:53.156Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,5000,10,5000,10,2020-10-13T22:17:04.253Z,2020-10-13T22:17:04.265Z,2020-10-13T22:17:04.265Z,2020-10-13T22:17:04.269Z,2020-10-13T22:17:04.269Z,2020-10-13T22:17:04.271Z,2020-10-13T22:17:04.272Z,2020-10-13T22:17:04.277Z,2020-10-13T22:17:04.277Z,2020-10-13T22:17:04.282Z,2020-10-13T22:17:04.283Z,2020-10-13T22:17:04.077Z,2020-10-13T22:17:04.079Z,2020-10-13T22:17:04.240Z,2020-10-13T22:17:04.288Z,,,2020-10-13T22:17:05.474Z,4.483180999755859
2020-10-13T22:17:09.943Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,5000,20,5000,20,2020-10-13T22:17:21.630Z,2020-10-13T22:17:21.650Z,2020-10-13T22:17:21.650Z,2020-10-13T22:17:21.658Z,2020-10-13T22:17:21.658Z,2020-10-13T22:17:21.660Z,2020-10-13T22:17:21.660Z,2020-10-13T22:17:21.669Z,2020-10-13T22:17:21.669Z,2020-10-13T22:17:21.677Z,2020-10-13T22:17:21.678Z,2020-10-13T22:17:21.440Z,2020-10-13T22:17:21.442Z,2020-10-13T22:17:21.614Z,2020-10-13T22:17:21.682Z,,,2020-10-13T22:17:22.856Z,4.347370982170105
2020-10-13T22:17:31.843Z,"iPhone12,3",14.0.0,psi,receiver,10489136.0,10000,1,10000,1,2020-10-13T22:17:46.245Z,2020-10-13T22:17:46.246Z,2020-10-13T22:17:46.246Z,2020-10-13T22:17:46.247Z,2020-10-13T22:17:46.247Z,2020-10-13T22:17:46.250Z,2020-10-13T22:17:46.250Z,2020-10-13T22:17:46.251Z,2020-10-13T22:17:46.251Z,2020-10-13T22:17:46.252Z,2020-10-13T22:17:46.254Z,2020-10-13T22:17:46.068Z,2020-10-13T22:17:46.070Z,2020-10-13T22:17:46.231Z,2020-10-13T22:17:46.263Z,,,2020-10-13T22:17:47.459Z,8.70813500881195
2020-10-13T22:17:56.349Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,10000,10,10000,10,2020-10-13T22:18:10.254Z,2020-10-13T22:18:10.263Z,2020-10-13T22:18:10.263Z,2020-10-13T22:18:10.267Z,2020-10-13T22:18:10.267Z,2020-10-13T22:18:10.270Z,2020-10-13T22:18:10.270Z,2020-10-13T22:18:10.275Z,2020-10-13T22:18:10.275Z,2020-10-13T22:18:10.279Z,2020-10-13T22:18:10.280Z,2020-10-13T22:18:10.059Z,2020-10-13T22:18:10.061Z,2020-10-13T22:18:10.237Z,2020-10-13T22:18:10.288Z,,,2020-10-13T22:18:11.596Z,8.661193013191223
2020-10-13T22:18:20.563Z,"iPhone12,3",14.0.0,psi,receiver,10489145.0,10000,20,10000,20,2020-10-13T22:18:34.468Z,2020-10-13T22:18:34.484Z,2020-10-13T22:18:34.484Z,2020-10-13T22:18:34.491Z,2020-10-13T22:18:34.491Z,2020-10-13T22:18:34.493Z,2020-10-13T22:18:34.493Z,2020-10-13T22:18:34.501Z,2020-10-13T22:18:34.501Z,2020-10-13T22:18:34.509Z,2020-10-13T22:18:34.511Z,2020-10-13T22:18:34.250Z,2020-10-13T22:18:34.251Z,2020-10-13T22:18:34.448Z,2020-10-13T22:18:34.518Z,,,2020-10-13T22:18:35.679Z,8.730875968933105
2020-10-13T22:18:48.963Z,"iPhone12,3",14.0.0,psi,receiver,10489136.0,15000,1,15000,1,2020-10-13T22:19:06.889Z,2020-10-13T22:19:06.890Z,2020-10-13T22:19:06.890Z,2020-10-13T22:19:06.890Z,2020-10-13T22:19:06.890Z,2020-10-13T22:19:06.893Z,2020-10-13T22:19:06.894Z,2020-10-13T22:19:06.894Z,2020-10-13T22:19:06.894Z,2020-10-13T22:19:06.895Z,2020-10-13T22:19:06.897Z,2020-10-13T22:19:06.687Z,2020-10-13T22:19:06.688Z,2020-10-13T22:19:06.870Z,2020-10-13T22:19:06.908Z,,,2020-10-13T22:19:08.215Z,13.021227955818176
2020-10-13T22:19:21.471Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,15000,10,15000,10,2020-10-13T22:19:37.885Z,2020-10-13T22:19:37.893Z,2020-10-13T22:19:37.893Z,2020-10-13T22:19:37.896Z,2020-10-13T22:19:37.896Z,2020-10-13T22:19:37.899Z,2020-10-13T22:19:37.899Z,2020-10-13T22:19:37.903Z,2020-10-13T22:19:37.903Z,2020-10-13T22:19:37.907Z,2020-10-13T22:19:37.910Z,2020-10-13T22:19:37.678Z,2020-10-13T22:19:37.680Z,2020-10-13T22:19:37.864Z,2020-10-13T22:19:37.920Z,,,2020-10-13T22:19:39.115Z,13.002579927444458
2020-10-13T22:19:52.425Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,15000,20,15000,20,2020-10-13T22:20:09.371Z,2020-10-13T22:20:09.385Z,2020-10-13T22:20:09.385Z,2020-10-13T22:20:09.392Z,2020-10-13T22:20:09.392Z,2020-10-13T22:20:09.394Z,2020-10-13T22:20:09.395Z,2020-10-13T22:20:09.403Z,2020-10-13T22:20:09.403Z,2020-10-13T22:20:09.410Z,2020-10-13T22:20:09.413Z,2020-10-13T22:20:09.143Z,2020-10-13T22:20:09.144Z,2020-10-13T22:20:09.349Z,2020-10-13T22:20:09.423Z,,,2020-10-13T22:20:10.600Z,12.97777009010315
