startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-09T07:21:24.979Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489145.0,1000,20,1000,20,2020-10-09T07:21:30.816Z,2020-10-09T07:21:30.841Z,2020-10-09T07:21:30.842Z,2020-10-09T07:21:30.861Z,2020-10-09T07:21:30.861Z,2020-10-09T07:21:30.862Z,2020-10-09T07:21:30.597Z,2020-10-09T07:21:30.614Z,2020-10-09T07:21:30.614Z,2020-10-09T07:21:30.628Z,2020-10-09T07:21:30.862Z,2020-10-09T07:21:30.479Z,2020-10-09T07:21:30.488Z,2020-10-09T07:21:30.488Z,2020-10-09T07:21:30.596Z,2020-10-09T07:21:30.629Z,2020-10-09T07:21:30.806Z,,,2020-10-09T07:21:30.940Z,2020-10-09T07:21:31.902Z,1.3808189630508423,2020-10-09T07:21:30.893Z
2020-10-09T07:21:38.958Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,5000,1,5000,1,2020-10-09T07:21:44.709Z,2020-10-09T07:21:44.710Z,2020-10-09T07:21:44.710Z,2020-10-09T07:21:44.711Z,2020-10-09T07:21:44.711Z,2020-10-09T07:21:44.713Z,2020-10-09T07:21:44.529Z,2020-10-09T07:21:44.530Z,2020-10-09T07:21:44.530Z,2020-10-09T07:21:44.534Z,2020-10-09T07:21:44.713Z,2020-10-09T07:21:44.411Z,2020-10-09T07:21:44.420Z,2020-10-09T07:21:44.420Z,2020-10-09T07:21:44.529Z,2020-10-09T07:21:44.540Z,2020-10-09T07:21:44.699Z,,,2020-10-09T07:21:44.801Z,2020-10-09T07:21:45.646Z,6.944553971290588,2020-10-09T07:21:44.746Z
2020-10-09T07:21:52.648Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,5000,10,5000,10,2020-10-09T07:21:58.476Z,2020-10-09T07:21:58.488Z,2020-10-09T07:21:58.488Z,2020-10-09T07:21:58.498Z,2020-10-09T07:21:58.498Z,2020-10-09T07:21:58.500Z,2020-10-09T07:21:58.254Z,2020-10-09T07:21:58.264Z,2020-10-09T07:21:58.264Z,2020-10-09T07:21:58.272Z,2020-10-09T07:21:58.500Z,2020-10-09T07:21:58.140Z,2020-10-09T07:21:58.148Z,2020-10-09T07:21:58.148Z,2020-10-09T07:21:58.253Z,2020-10-09T07:21:58.278Z,2020-10-09T07:21:58.460Z,,,2020-10-09T07:21:58.579Z,2020-10-09T07:21:59.450Z,6.8838770389556885,2020-10-09T07:21:58.531Z
2020-10-09T07:22:06.578Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,5000,20,5000,20,2020-10-09T07:22:12.336Z,2020-10-09T07:22:12.359Z,2020-10-09T07:22:12.359Z,2020-10-09T07:22:12.377Z,2020-10-09T07:22:12.377Z,2020-10-09T07:22:12.379Z,2020-10-09T07:22:12.112Z,2020-10-09T07:22:12.129Z,2020-10-09T07:22:12.129Z,2020-10-09T07:22:12.145Z,2020-10-09T07:22:12.379Z,2020-10-09T07:22:11.989Z,2020-10-09T07:22:11.999Z,2020-10-09T07:22:11.999Z,2020-10-09T07:22:12.111Z,2020-10-09T07:22:12.150Z,2020-10-09T07:22:12.319Z,,,2020-10-09T07:22:12.459Z,2020-10-09T07:22:13.377Z,6.991256952285767,2020-10-09T07:22:12.411Z
2020-10-09T07:22:27.449Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489138.0,10000,1,10000,1,2020-10-09T07:22:33.278Z,2020-10-09T07:22:33.280Z,2020-10-09T07:22:33.280Z,2020-10-09T07:22:33.281Z,2020-10-09T07:22:33.281Z,2020-10-09T07:22:33.284Z,2020-10-09T07:22:33.055Z,2020-10-09T07:22:33.056Z,2020-10-09T07:22:33.056Z,2020-10-09T07:22:33.062Z,2020-10-09T07:22:33.284Z,2020-10-09T07:22:32.940Z,2020-10-09T07:22:32.954Z,2020-10-09T07:22:32.954Z,2020-10-09T07:22:33.054Z,2020-10-09T07:22:33.073Z,2020-10-09T07:22:33.259Z,,,2020-10-09T07:22:33.369Z,2020-10-09T07:22:34.230Z,13.873121976852417,2020-10-09T07:22:33.315Z
2020-10-09T07:22:48.424Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,10000,10,10000,10,2020-10-09T07:22:54.299Z,2020-10-09T07:22:54.311Z,2020-10-09T07:22:54.311Z,2020-10-09T07:22:54.321Z,2020-10-09T07:22:54.321Z,2020-10-09T07:22:54.324Z,2020-10-09T07:22:54.045Z,2020-10-09T07:22:54.055Z,2020-10-09T07:22:54.055Z,2020-10-09T07:22:54.065Z,2020-10-09T07:22:54.324Z,2020-10-09T07:22:53.924Z,2020-10-09T07:22:53.937Z,2020-10-09T07:22:53.937Z,2020-10-09T07:22:54.044Z,2020-10-09T07:22:54.076Z,2020-10-09T07:22:54.278Z,,,2020-10-09T07:22:54.414Z,2020-10-09T07:22:55.360Z,13.981501936912537,2020-10-09T07:22:54.355Z
2020-10-09T07:23:09.515Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489137.0,10000,20,10000,20,2020-10-09T07:23:15.419Z,2020-10-09T07:23:15.441Z,2020-10-09T07:23:15.441Z,2020-10-09T07:23:15.458Z,2020-10-09T07:23:15.458Z,2020-10-09T07:23:15.461Z,2020-10-09T07:23:15.130Z,2020-10-09T07:23:15.147Z,2020-10-09T07:23:15.147Z,2020-10-09T07:23:15.165Z,2020-10-09T07:23:15.461Z,2020-10-09T07:23:15.013Z,2020-10-09T07:23:15.027Z,2020-10-09T07:23:15.027Z,2020-10-09T07:23:15.129Z,2020-10-09T07:23:15.175Z,2020-10-09T07:23:15.395Z,,,2020-10-09T07:23:15.545Z,2020-10-09T07:23:16.409Z,13.931551933288574,2020-10-09T07:23:15.491Z
2020-10-09T07:23:37.705Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,15000,1,15000,1,2020-10-09T07:23:43.056Z,2020-10-09T07:23:43.057Z,2020-10-09T07:23:43.057Z,2020-10-09T07:23:43.058Z,2020-10-09T07:23:43.058Z,2020-10-09T07:23:43.063Z,2020-10-09T07:23:42.821Z,2020-10-09T07:23:42.821Z,2020-10-09T07:23:42.821Z,2020-10-09T07:23:42.827Z,2020-10-09T07:23:43.063Z,2020-10-09T07:23:42.706Z,2020-10-09T07:23:42.720Z,2020-10-09T07:23:42.720Z,2020-10-09T07:23:42.820Z,2020-10-09T07:23:42.844Z,2020-10-09T07:23:43.031Z,,,2020-10-09T07:23:43.149Z,2020-10-09T07:23:44.011Z,21.008478045463562,2020-10-09T07:23:43.095Z
2020-10-09T07:24:05.288Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,15000,10,15000,10,2020-10-09T07:24:10.702Z,2020-10-09T07:24:10.713Z,2020-10-09T07:24:10.713Z,2020-10-09T07:24:10.722Z,2020-10-09T07:24:10.722Z,2020-10-09T07:24:10.726Z,2020-10-09T07:24:10.408Z,2020-10-09T07:24:10.417Z,2020-10-09T07:24:10.418Z,2020-10-09T07:24:10.429Z,2020-10-09T07:24:10.726Z,2020-10-09T07:24:10.289Z,2020-10-09T07:24:10.303Z,2020-10-09T07:24:10.303Z,2020-10-09T07:24:10.407Z,2020-10-09T07:24:10.447Z,2020-10-09T07:24:10.673Z,,,2020-10-09T07:24:10.809Z,2020-10-09T07:24:11.750Z,20.985788106918335,2020-10-09T07:24:10.756Z
2020-10-09T07:24:33.668Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,15000,20,15000,20,2020-10-09T07:24:39.122Z,2020-10-09T07:24:39.143Z,2020-10-09T07:24:39.143Z,2020-10-09T07:24:39.160Z,2020-10-09T07:24:39.160Z,2020-10-09T07:24:39.165Z,2020-10-09T07:24:38.793Z,2020-10-09T07:24:38.809Z,2020-10-09T07:24:38.809Z,2020-10-09T07:24:38.828Z,2020-10-09T07:24:39.165Z,2020-10-09T07:24:38.668Z,2020-10-09T07:24:38.682Z,2020-10-09T07:24:38.682Z,2020-10-09T07:24:38.792Z,2020-10-09T07:24:38.844Z,2020-10-09T07:24:39.091Z,,,2020-10-09T07:24:39.253Z,2020-10-09T07:24:40.129Z,21.605908036231995,2020-10-09T07:24:39.195Z
