startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T07:21:24.459Z,"iPhone12,3",14.0.0,psi,receiver,10489145.0,1000,20,1000,20,2020-10-09T07:21:30.746Z,2020-10-09T07:21:30.771Z,2020-10-09T07:21:30.771Z,2020-10-09T07:21:30.781Z,2020-10-09T07:21:30.781Z,2020-10-09T07:21:30.781Z,2020-10-09T07:21:30.782Z,2020-10-09T07:21:30.792Z,2020-10-09T07:21:30.792Z,2020-10-09T07:21:30.801Z,2020-10-09T07:21:30.801Z,2020-10-09T07:21:30.595Z,2020-10-09T07:21:30.597Z,2020-10-09T07:21:30.732Z,2020-10-09T07:21:30.802Z,,,2020-10-09T07:21:31.901Z,0.8689110279083252
2020-10-09T07:21:36.353Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,5000,1,5000,1,2020-10-09T07:21:44.675Z,2020-10-09T07:21:44.677Z,2020-10-09T07:21:44.677Z,2020-10-09T07:21:44.678Z,2020-10-09T07:21:44.678Z,2020-10-09T07:21:44.680Z,2020-10-09T07:21:44.681Z,2020-10-09T07:21:44.681Z,2020-10-09T07:21:44.681Z,2020-10-09T07:21:44.682Z,2020-10-09T07:21:44.683Z,2020-10-09T07:21:44.528Z,2020-10-09T07:21:44.529Z,2020-10-09T07:21:44.666Z,2020-10-09T07:21:44.690Z,,,2020-10-09T07:21:45.646Z,4.353137969970703
2020-10-09T07:21:50.158Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,5000,10,5000,10,2020-10-09T07:21:58.417Z,2020-10-09T07:21:58.428Z,2020-10-09T07:21:58.428Z,2020-10-09T07:21:58.433Z,2020-10-09T07:21:58.433Z,2020-10-09T07:21:58.434Z,2020-10-09T07:21:58.435Z,2020-10-09T07:21:58.440Z,2020-10-09T07:21:58.440Z,2020-10-09T07:21:58.445Z,2020-10-09T07:21:58.446Z,2020-10-09T07:21:58.252Z,2020-10-09T07:21:58.254Z,2020-10-09T07:21:58.404Z,2020-10-09T07:21:58.451Z,,,2020-10-09T07:21:59.450Z,4.408764958381653
2020-10-09T07:22:03.916Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,5000,20,5000,20,2020-10-09T07:22:12.266Z,2020-10-09T07:22:12.281Z,2020-10-09T07:22:12.281Z,2020-10-09T07:22:12.289Z,2020-10-09T07:22:12.289Z,2020-10-09T07:22:12.290Z,2020-10-09T07:22:12.290Z,2020-10-09T07:22:12.299Z,2020-10-09T07:22:12.299Z,2020-10-09T07:22:12.307Z,2020-10-09T07:22:12.308Z,2020-10-09T07:22:12.110Z,2020-10-09T07:22:12.112Z,2020-10-09T07:22:12.257Z,2020-10-09T07:22:12.313Z,,,2020-10-09T07:22:13.377Z,4.353895902633667
2020-10-09T07:22:22.329Z,"iPhone12,3",14.0.0,psi,receiver,10489138.0,10000,1,10000,1,2020-10-09T07:22:33.225Z,2020-10-09T07:22:33.226Z,2020-10-09T07:22:33.226Z,2020-10-09T07:22:33.227Z,2020-10-09T07:22:33.227Z,2020-10-09T07:22:33.230Z,2020-10-09T07:22:33.233Z,2020-10-09T07:22:33.233Z,2020-10-09T07:22:33.233Z,2020-10-09T07:22:33.234Z,2020-10-09T07:22:33.236Z,2020-10-09T07:22:33.053Z,2020-10-09T07:22:33.055Z,2020-10-09T07:22:33.212Z,2020-10-09T07:22:33.245Z,,,2020-10-09T07:22:34.230Z,8.78177297115326
2020-10-09T07:22:43.096Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,10000,10,10000,10,2020-10-09T07:22:54.229Z,2020-10-09T07:22:54.238Z,2020-10-09T07:22:54.238Z,2020-10-09T07:22:54.242Z,2020-10-09T07:22:54.242Z,2020-10-09T07:22:54.244Z,2020-10-09T07:22:54.246Z,2020-10-09T07:22:54.250Z,2020-10-09T07:22:54.250Z,2020-10-09T07:22:54.254Z,2020-10-09T07:22:54.255Z,2020-10-09T07:22:54.043Z,2020-10-09T07:22:54.045Z,2020-10-09T07:22:54.214Z,2020-10-09T07:22:54.263Z,,,2020-10-09T07:22:55.360Z,8.684718012809753
2020-10-09T07:23:04.365Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,10000,20,10000,20,2020-10-09T07:23:15.331Z,2020-10-09T07:23:15.347Z,2020-10-09T07:23:15.347Z,2020-10-09T07:23:15.354Z,2020-10-09T07:23:15.354Z,2020-10-09T07:23:15.356Z,2020-10-09T07:23:15.356Z,2020-10-09T07:23:15.364Z,2020-10-09T07:23:15.364Z,2020-10-09T07:23:15.372Z,2020-10-09T07:23:15.374Z,2020-10-09T07:23:15.128Z,2020-10-09T07:23:15.129Z,2020-10-09T07:23:15.313Z,2020-10-09T07:23:15.381Z,,,2020-10-09T07:23:16.408Z,8.780504941940308
2020-10-09T07:23:29.777Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,15000,1,15000,1,2020-10-09T07:23:42.995Z,2020-10-09T07:23:42.995Z,2020-10-09T07:23:42.995Z,2020-10-09T07:23:42.996Z,2020-10-09T07:23:42.996Z,2020-10-09T07:23:42.999Z,2020-10-09T07:23:43.000Z,2020-10-09T07:23:43.000Z,2020-10-09T07:23:43.000Z,2020-10-09T07:23:43.001Z,2020-10-09T07:23:43.003Z,2020-10-09T07:23:42.820Z,2020-10-09T07:23:42.821Z,2020-10-09T07:23:42.977Z,2020-10-09T07:23:43.014Z,,,2020-10-09T07:23:44.010Z,13.113692998886108
2020-10-09T07:23:57.379Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,15000,10,15000,10,2020-10-09T07:24:10.616Z,2020-10-09T07:24:10.623Z,2020-10-09T07:24:10.623Z,2020-10-09T07:24:10.627Z,2020-10-09T07:24:10.627Z,2020-10-09T07:24:10.629Z,2020-10-09T07:24:10.631Z,2020-10-09T07:24:10.635Z,2020-10-09T07:24:10.635Z,2020-10-09T07:24:10.639Z,2020-10-09T07:24:10.641Z,2020-10-09T07:24:10.405Z,2020-10-09T07:24:10.407Z,2020-10-09T07:24:10.598Z,2020-10-09T07:24:10.652Z,,,2020-10-09T07:24:11.749Z,13.113443970680237
2020-10-09T07:24:25.234Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,15000,20,15000,20,2020-10-09T07:24:39.017Z,2020-10-09T07:24:39.031Z,2020-10-09T07:24:39.031Z,2020-10-09T07:24:39.038Z,2020-10-09T07:24:39.038Z,2020-10-09T07:24:39.041Z,2020-10-09T07:24:39.041Z,2020-10-09T07:24:39.049Z,2020-10-09T07:24:39.049Z,2020-10-09T07:24:39.056Z,2020-10-09T07:24:39.059Z,2020-10-09T07:24:38.791Z,2020-10-09T07:24:38.792Z,2020-10-09T07:24:38.996Z,2020-10-09T07:24:39.070Z,,,2020-10-09T07:24:40.128Z,13.206248998641968
