startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T23:45:10.541Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:45:20.614Z,2020-10-09T23:45:20.617Z,2020-10-09T23:45:21.582Z,8.727504968643188
2020-10-09T23:45:30.639Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:45:40.548Z,2020-10-09T23:45:40.552Z,2020-10-09T23:45:41.567Z,8.78402292728424
2020-10-09T23:45:50.476Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:46:01.040Z,2020-10-09T23:46:01.045Z,2020-10-09T23:46:01.979Z,8.707456946372986
2020-10-09T23:46:15.384Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:46:28.271Z,2020-10-09T23:46:28.275Z,2020-10-09T23:46:29.184Z,13.163714051246643
2020-10-09T23:46:42.527Z,"iPhone12,3",14.0.0,original,receiver,10489136.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:46:55.526Z,2020-10-09T23:46:55.529Z,2020-10-09T23:46:56.448Z,13.097975015640259
2020-10-09T23:47:09.806Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:47:22.296Z,2020-10-09T23:47:22.300Z,2020-10-09T23:47:23.245Z,13.097820043563843
2020-10-09T23:47:23.362Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:47:29.073Z,2020-10-09T23:47:29.077Z,2020-10-09T23:47:29.987Z,0.08721292018890381
2020-10-09T23:47:30.105Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:47:35.908Z,2020-10-09T23:47:35.912Z,2020-10-09T23:47:36.876Z,0.08765304088592529
2020-10-09T23:47:37.004Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:47:42.718Z,2020-10-09T23:47:42.722Z,2020-10-09T23:47:43.657Z,0.08802604675292969
2020-10-09T23:47:44.571Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:47:50.576Z,2020-10-09T23:47:50.580Z,2020-10-09T23:47:51.683Z,0.877426028251648
2020-10-09T23:47:52.603Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:47:58.578Z,2020-10-09T23:47:58.582Z,2020-10-09T23:48:00.021Z,0.8753169775009155
2020-10-09T23:48:00.943Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:48:07.355Z,2020-10-09T23:48:07.359Z,2020-10-09T23:48:08.398Z,0.868914008140564
2020-10-09T23:48:12.873Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:48:20.988Z,2020-10-09T23:48:20.993Z,2020-10-09T23:48:22.120Z,4.382536053657532
2020-10-09T23:48:26.666Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:48:34.618Z,2020-10-09T23:48:34.623Z,2020-10-09T23:48:35.866Z,4.355999946594238
2020-10-09T23:48:40.404Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:48:48.305Z,2020-10-09T23:48:48.310Z,2020-10-09T23:48:49.422Z,4.345345973968506
