startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-11T20:45:39.303Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489139.0,10000,1,,,,,,,,,,,,,,2020-10-11T20:45:44.698Z,2020-10-11T20:45:44.703Z,,,,,2020-10-11T20:45:44.703Z,2020-10-11T20:45:44.800Z,2020-10-11T20:45:44.878Z,2020-10-11T20:45:45.743Z,13.689639925956726,2020-10-11T20:45:44.837Z
2020-10-11T20:45:59.526Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489136.0,10000,10,,,,,,,,,,,,,,2020-10-11T20:46:04.913Z,2020-10-11T20:46:04.919Z,,,,,2020-10-11T20:46:04.919Z,2020-10-11T20:46:05.017Z,2020-10-11T20:46:05.100Z,2020-10-11T20:46:05.951Z,13.573676943778992,2020-10-11T20:46:05.054Z
2020-10-11T20:46:19.683Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,10000,20,,,,,,,,,,,,,,2020-10-11T20:46:25.132Z,2020-10-11T20:46:25.137Z,,,,,2020-10-11T20:46:25.138Z,2020-10-11T20:46:25.226Z,2020-10-11T20:46:25.313Z,2020-10-11T20:46:26.250Z,13.51042902469635,2020-10-11T20:46:25.265Z
2020-10-11T20:46:47.056Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,15000,1,,,,,,,,,,,,,,2020-10-11T20:46:52.369Z,2020-10-11T20:46:52.373Z,,,,,2020-10-11T20:46:52.374Z,2020-10-11T20:46:52.462Z,2020-10-11T20:46:52.551Z,2020-10-11T20:46:53.363Z,20.518991947174072,2020-10-11T20:46:52.502Z
2020-10-11T20:47:13.523Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,15000,10,,,,,,,,,,,,,,2020-10-11T20:47:18.920Z,2020-10-11T20:47:18.925Z,,,,,2020-10-11T20:47:18.925Z,2020-10-11T20:47:19.020Z,2020-10-11T20:47:19.107Z,2020-10-11T20:47:19.955Z,19.859193086624146,2020-10-11T20:47:19.058Z
2020-10-11T20:47:40.660Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,15000,20,,,,,,,,,,,,,,2020-10-11T20:47:46.113Z,2020-10-11T20:47:46.119Z,,,,,2020-10-11T20:47:46.119Z,2020-10-11T20:47:46.215Z,2020-10-11T20:47:46.300Z,2020-10-11T20:47:47.244Z,20.395664930343628,2020-10-11T20:47:46.253Z
2020-10-11T20:47:47.412Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,100,1,,,,,,,,,,,,,,2020-10-11T20:47:52.907Z,2020-10-11T20:47:52.912Z,,,,,2020-10-11T20:47:52.912Z,2020-10-11T20:47:53.007Z,2020-10-11T20:47:53.093Z,2020-10-11T20:47:54.009Z,0.1432969570159912,2020-10-11T20:47:53.045Z
2020-10-11T20:47:54.183Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,100,10,,,,,,,,,,,,,,2020-10-11T20:47:59.667Z,2020-10-11T20:47:59.672Z,,,,,2020-10-11T20:47:59.672Z,2020-10-11T20:47:59.765Z,2020-10-11T20:47:59.847Z,2020-10-11T20:48:00.748Z,0.14006495475769043,2020-10-11T20:47:59.805Z
2020-10-11T20:48:00.937Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489143.0,100,20,,,,,,,,,,,,,,2020-10-11T20:48:06.425Z,2020-10-11T20:48:06.429Z,,,,,2020-10-11T20:48:06.430Z,2020-10-11T20:48:06.526Z,2020-10-11T20:48:06.612Z,2020-10-11T20:48:07.511Z,0.14019405841827393,2020-10-11T20:48:06.564Z
2020-10-11T20:48:08.914Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489146.0,1000,1,,,,,,,,,,,,,,2020-10-11T20:48:14.371Z,2020-10-11T20:48:14.376Z,,,,,2020-10-11T20:48:14.376Z,2020-10-11T20:48:14.468Z,2020-10-11T20:48:14.556Z,2020-10-11T20:48:15.458Z,1.3638869524002075,2020-10-11T20:48:14.509Z
